Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold,Cars Sold,Monthly Change in Cars Sold,Monthly Change in Cars Sold (%),Total Value of Cars Sold,Monthly Change in Value of Cars Sold,Monthly Change in Value of Cars Sold (%),Monthly Change in Number of New Cars Sold,Monthly Change in Number of New Cars Sold (%),Monthly Change in Value of New Cars Sold,Monthly Change in Value of New Cars Sold (%),Monthly Change in Number of Used Cars Sold,Monthly Change in Number of Used Cars Sold (%),Monthly Change in Value of Used Cars Sold,Monthly Change in Value of Used Cars Sold (%)
2011-06-01,25464,54135,698611340,440018761,79599,-3567.0,-4.2890123367722355,1138630101,-41211945.0,-3.49300528318347,-329.0,-1.2755398751599256,-15238672.0,-2.134716221031596,-3238.0,-5.643769717462921,-25973273.0,-5.573759014086499
2011-07-01,26984,59203,754568121,499370349,86187,6588.0,8.276485885501073,1253938470,115308369.0,10.12693840596086,1520.0,5.969211435752442,55956781.0,8.009715530812889,5068.0,9.36178073335181,59351588.0,13.488422144800328
2011-08-01,23154,50549,662962907,447965139,73703,-12484.0,-14.484783087936693,1110928046,-143010424.0,-11.404899635944654,-3830.0,-14.19359620515861,-91605214.0,-12.14008536149117,-8654.0,-14.617502491427803,-51405210.0,-10.294005261413709
2011-09-01,24875,56055,733038484,492531070,80930,7227.0,9.805571007964398,1225569554,114641508.0,10.319435935817566,1721.0,7.432840977800814,70075577.0,10.57005999281344,5506.0,10.892401432273635,44565931.0,9.948526597289531
2011-10-01,24945,50389,736524414,447044465,75334,-5596.0,-6.914617570740145,1183568879,-42000675.0,-3.4270331588214353,70.0,0.2814070351758735,3485930.0,0.47554529210773744,-5666.0,-10.107929711890106,-45486605.0,-9.235276263891334
2011-11-01,22996,49497,685279242,443101644,72493,-2841.0,-3.7712055645525266,1128380886,-55187993.0,-4.662845904382717,-1949.0,-7.813189015834832,-51245172.0,-6.957701744290046,-892.0,-1.7702276290460173,-3942821.0,-0.8819751296999079
2011-12-01,22177,47040,684647259,429841495,69217,-3276.0,-4.519057012401195,1114488754,-13892132.0,-1.231156267565492,-819.0,-3.5614889546008,-631983.0,-0.0922226971526996,-2457.0,-4.963937208315661,-13260149.0,-2.9925749948244373
2012-01-01,22512,43874,710741092,415418423,66386,-2831.0,-4.0900356848751045,1126159515,11670761.0,1.047185174198706,335.0,1.5105740181268867,26093833.0,3.8112813068313267,-3166.0,-6.730442176870744,-14423072.0,-3.355439660379922
2012-02-01,25223,46367,775943607,419503746,71590,5204.0,7.839002199258882,1195447353,69287838.0,6.152577594658082,2711.0,12.042466240227444,65202515.0,9.173877201404302,2493.0,5.682180790445357,4085323.0,0.9834236456094825
2012-03-01,21783,53216,653555445,427637684,74999,3409.0,4.76183824556502,1081193129,-114254224.0,-9.557445061321745,-3440.0,-13.638345954089527,-122388162.0,-15.77281659335844,6849.0,14.771281299199867,8133938.0,1.9389428765673067
2012-04-01,28280,62426,790798381,513936240,90706,15707.0,20.942945905945408,1304734621,223541492.0,20.67544511744672,6497.0,29.826011109580875,137242936.0,20.99943272601761,9210.0,17.306825015033066,86298556.0,20.180297300459603
2012-05-01,27467,56913,766243639,493881213,84380,-6326.0,-6.974180318832268,1260124852,-44609769.0,-3.4190683900002017,-813.0,-2.8748231966053694,-24554742.0,-3.1050571915624547,-5513.0,-8.831256207349503,-20055027.0,-3.9022402856821348
2012-06-01,29390,55096,822158205,489914146,84486,106.0,0.12562218535197012,1312072351,51947499.0,4.122408896035323,1923.0,7.001128627079778,55914566.0,7.297230691920964,-1817.0,-3.192592202133082,-3967067.0,-0.8032431474570001
2012-07-01,29662,53148,847168622,487154088,82810,-1676.0,-1.9837606230618143,1334322710,22250359.0,1.6958179922808236,272.0,0.9254848587955111,25010417.0,3.042044322844162,-1948.0,-3.5356468709162203,-2760058.0,-0.5633758532051059
2012-08-01,26593,52146,791818346,468241971,78739,-4071.0,-4.916072938050964,1260060317,-74262393.0,-5.565549656274682,-3069.0,-10.346571370777424,-55350276.0,-6.5335606823265895,-1002.0,-1.8853014224429865,-18912117.0,-3.8821632550890106
2012-09-01,28765,56079,851322732,514215353,84844,6105.0,7.753463975920449,1365538085,105477768.0,8.370850710633082,2172.0,8.167562892490498,59504386.0,7.514903677162343,3933.0,7.54228512254056,45973382.0,9.818295848579538
2012-10-01,26671,50566,777860867,453896775,77237,-7607.0,-8.965866767243414,1231757642,-133780443.0,-9.796903101388054,-2094.0,-7.279680166869462,-73461865.0,-8.629144064721162,-5513.0,-9.83077444319621,-60318578.0,-11.730217242268925
2012-11-01,27300,53460,815238036,479430068,80760,3523.0,4.561285394305847,1294668104,62910462.0,5.107373387012437,629.0,2.3583667654006213,37377169.0,4.805122687834085,2894.0,5.723213226278534,25533293.0,5.625352372243664
2012-12-01,22996,46673,692717590,429661696,69669,-11091.0,-13.733283803863294,1122379286,-172288818.0,-13.307566430940664,-4304.0,-15.765567765567766,-122520446.0,-15.028794117746491,-6787.0,-12.69547325102881,-49768372.0,-10.380736487307674
2013-01-01,22632,41588,700168869,404654091,64220,-5449.0,-7.821269144095655,1104822960,-17556326.0,-1.5642061662210716,-364.0,-1.5828839798225802,7451279.0,1.0756589853593956,-5085.0,-10.894949971075352,-25007605.0,-5.820301235323521
2013-02-01,27083,46843,842788566,453614704,73926,9706.0,15.113671753347857,1296403270,191580310.0,17.34036283967162,4451.0,19.666843407564507,142619697.0,20.369328502664395,5255.0,12.635856497066467,48960613.0,12.099374277671648
2013-03-01,21639,47884,666540837,411525315,69523,-4403.0,-5.955955955955961,1078066152,-218337118.0,-16.841759277574177,-5444.0,-20.10117047594432,-176247729.0,-20.912448994947564,1041.0,2.222317101808158,-42089389.0,-9.278665049623259
2013-04-01,29606,60740,876674543,516055403,90346,20823.0,29.951239158264165,1392729946,314663794.0,29.1878001564416,7967.0,36.81778270714913,210133706.0,31.526006260288586,12856.0,26.848216523264547,104530088.0,25.40064588736175
