,Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold
228,2021-01-01,21674,47934,834312337,622526750
229,2021-02-01,20579,42306,797908033,556318165
230,2021-03-01,34794,66410,1267127282,848644184
231,2021-04-01,32730,63931,1213808079,863507284
232,2021-05-01,33788,60551,1295819889,842208559
233,2021-06-01,28039,55978,1120989909,839454924
234,2021-07-01,25779,57859,1048930976,862659646
235,2021-08-01,23233,57280,994080847,855687944
236,2021-09-01,20975,54004,902795955,832349702
237,2021-10-01,20843,52045,905018365,821046399
238,2021-11-01,20511,47276,909588132,844991836
239,2021-12-01,22677,42812,1028505727,743190343
240,2022-01-01,19160,40497,847214025,694097721
241,2022-02-01,21769,46442,938361276,809993384
242,2022-03-01,26148,57453,1121118314,934785809
243,2022-04-01,23756,51670,980797747,879511928
244,2022-05-01,23162,51373,990610106,899660891
245,2022-06-01,22954,47829,1009601998,815244816
246,2022-07-01,22001,49295,975230778,832744192
247,2022-08-01,22594,49861,1040810389,827552546
248,2022-09-01,22941,48298,1096319386,838767438
249,2022-10-01,22255,47325,1060091844,804805365
250,2022-11-01,21117,43345,993531237,734729853
251,2022-12-01,23025,40906,1120587035,718545405
252,2023-01-01,21037,45543,992034915,762502754
253,2023-02-01,20893,44320,960384917,712901541
254,2023-03-01,28023,53557,1245687446,872419947
255,2023-04-01,25918,48230,1136414635,775889223
256,2023-05-01,28372,51416,1234582275,855515371
257,2023-06-01,27001,50613,1214340987,814275863
258,2023-07-01,26360,49502,1196918451,887723892
259,2023-08-01,25876,52725,1222581892,908454060
260,2023-09-01,23892,45386,1134437699,744676584
261,2023-10-01,23775,45473,1122680147,740582533
